Gene1,Gene2,Score
AT4G24160,AT4G20860,0.18255164
AT4G27730,AT2G15620,0.18249011
AT5G54160,AT1G15950,0.18176016
AT5G39580,AT3G46280,0.18160793
AT2G39530,AT3G29034,0.18147266
AT5G66420,AT2G31400,0.18113652
AT5G10450,AT5G20250,0.18102907
AT2G44380,AT2G25470,0.1808612
AT5G67450,AT1G12940,0.18059613
AT3G21080,AT4G23210,0.18042283
AT2G17740,AT2G44370,0.18022839999999998
AT1G65690,AT5G50200,0.17995745
AT4G31550,AT5G46330,0.1798595
AT5G66420,AT3G59880,0.17977668
AT2G17740,AT3G22060,0.17972954
AT3G21080,AT5G37600,0.17952345
AT3G19450,AT5G13930,0.1794564
AT2G44370,AT5G67450,0.17941736
AT4G31800,AT3G50470,0.17937647
AT4G01250,AT5G13930,0.17922795
AT1G02450,AT3G50470,0.17881678
AT2G31400,AT1G65690,0.17684852
AT5G40780,AT5G50200,0.1767396
AT5G48430,AT1G51680,0.17667204
AT5G39580,AT1G51620,0.17657396
AT3G46280,AT1G64170,0.17639019
AT1G65690,AT4G35180,0.17597571
AT5G55050,AT1G02450,0.17585489
AT2G02220,AT2G39200,0.17584015
AT2G02220,AT2G36690,0.17571162
AT1G51800,AT4G20860,0.17543723
AT2G39200,AT2G17740,0.17493726
AT1G52200,AT4G33430,0.17489998
AT1G65690,AT3G49780,0.1748931
AT4G38560,AT1G61380,0.17478055
AT5G04140,AT2G25470,0.1745108
AT3G59880,AT1G49000,0.17434505
AT2G37040,AT2G41220,0.17370546
AT1G15950,AT3G49780,0.17324895
AT1G30720,AT1G30730,0.17322655
AT4G33430,AT3G22060,0.17303553
AT3G19010,AT2G44490,0.17183095
AT3G21080,AT2G17740,0.17079502
AT3G59880,AT1G65490,0.16987833
AT2G02220,AT4G35180,0.16980495
AT5G53110,AT4G20000,0.16941307
AT1G14780,AT3G19930,0.16919619
AT4G27730,AT3G19450,0.16914720000000003
AT5G10450,AT4G24160,0.16909048
AT2G42360,AT1G51800,0.16879949
AT3G50480,AT2G25470,0.1687513
AT3G19010,AT4G24160,0.16845073
AT2G25000,AT5G54160,0.16802883
AT1G64170,AT2G25000,0.16785039
AT1G30730,AT4G21410,0.16724582
AT3G25882,AT5G20250,0.16717094
AT2G17740,AT2G36690,0.16656151
AT1G51800,AT4G31550,0.16622722
AT2G37710,AT1G02450,0.16562259
AT3G22060,AT1G51620,0.16561404
AT1G70530,AT1G52200,0.16520886
AT2G39200,AT1G51620,0.16520454
AT2G17740,AT4G20000,0.16490267
AT2G36690,AT3G22060,0.16476563
AT5G67450,AT1G02450,0.1631744
AT4G35180,AT3G21080,0.16288625
AT3G19450,AT1G21670,0.16205306
AT4G01250,AT2G36690,0.16201521
AT1G64280,AT2G37710,0.16185787
AT4G23210,AT2G25470,0.16184719
AT5G54160,AT5G50200,0.1616879
AT1G49000,AT4G20000,0.16142716
AT1G51680,AT3G46280,0.16142224
AT5G01540,AT4G38560,0.16133061
AT3G46280,AT2G44370,0.16126576
AT1G51680,AT4G01700,0.16113508
AT4G24160,AT2G41220,0.16097654
AT4G21410,AT2G31400,0.16092716
AT2G39200,AT4G20860,0.16075076
AT2G44380,AT5G67450,0.16000482
AT1G51800,AT5G50200,0.15984467
AT2G17740,AT4G20860,0.15973084
AT5G48430,AT5G39580,0.15926345
AT5G40780,AT1G61380,0.15924168
AT3G21080,AT4G31800,0.15904978
AT2G25470,AT5G04140,0.15875192
AT4G24160,AT2G30360,0.15864836
AT1G08090,AT1G30720,0.15834074
AT1G02450,AT3G25882,0.15711889999999998
AT2G02220,AT1G51890,0.15644239
AT1G61380,AT1G14780,0.15623541
AT1G61360,AT1G51890,0.1556076
AT3G25882,AT2G30490,0.15494654
AT1G51890,AT5G53110,0.15473284
AT2G39200,AT4G21410,0.15400314
AT4G20860,AT2G30490,0.15392077
AT1G52200,AT5G55050,0.15376556
AT1G51800,AT2G42360,0.15360399
AT3G19010,AT3G22060,0.1531649
AT2G39530,AT2G36690,0.15252408
AT1G52200,AT1G51800,0.15074076
AT2G37710,AT5G04140,0.15053001
AT5G40780,AT3G26210,0.14986856
AT2G17740,AT1G51800,0.14950036
AT1G65690,AT5G07440,0.14901999
AT5G39580,AT2G44490,0.14900072
AT4G21410,AT1G61380,0.14879069
AT1G15950,AT1G51680,0.14849807
AT1G70530,AT1G61380,0.14826237
AT3G50470,AT5G40780,0.14826022
AT4G27730,AT3G49780,0.14775465
AT5G01540,AT5G67450,0.14759860000000002
AT1G65690,AT4G20860,0.1472113
AT3G59880,AT5G13930,0.14696446
AT3G25882,AT5G44585,0.14694922
AT1G30730,AT5G44585,0.14684992
AT4G38560,AT3G50480,0.14648229999999998
AT5G20250,AT1G64280,0.14641944
AT4G20000,AT3G21080,0.14639674
AT4G20860,AT5G48430,0.14619455
AT2G02220,AT1G15950,0.14613497
AT5G07440,AT2G30360,0.14595553
AT1G51800,AT5G07440,0.14594133
AT5G37600,AT5G04140,0.14568657
AT5G01540,AT2G44370,0.14520292
AT4G27730,AT3G46280,0.14479262
AT1G51800,AT2G39200,0.14478372
AT1G51680,AT1G30720,0.14470068
AT2G37710,AT4G23210,0.1443905
AT2G39200,AT4G01250,0.14423072
AT5G44585,AT2G44370,0.14420247
AT5G67450,AT1G14780,0.14361487
AT4G01250,AT1G21670,0.14340726
AT1G49000,AT5G37600,0.14331654
AT1G64280,AT5G20480,0.14259987
AT3G19930,AT1G30720,0.14170012
AT5G37600,AT1G70530,0.14136273
AT3G26210,AT5G40780,0.14105058
AT2G44370,AT3G52450,0.14099634
AT1G52200,AT1G65690,0.14088403
AT4G08850,AT2G42360,0.14043912
AT2G39200,AT5G48430,0.14033943
AT3G49780,AT3G26210,0.14029956
AT4G38560,AT5G67450,0.14010832
AT1G15950,AT2G37040,0.13996369
AT4G38560,AT4G31800,0.13955261
AT5G46330,AT3G21080,0.13896146
AT2G19190,AT2G25470,0.13892704
AT3G59880,AT2G44380,0.13892552
AT3G19010,AT4G28140,0.13889714
AT1G77380,AT5G07440,0.13855818
AT1G65490,AT2G25000,0.13841955
AT1G51620,AT1G51800,0.138255
AT5G46330,AT4G28140,0.13819969
AT2G38900,AT1G61360,0.13791125
AT2G31400,AT4G21410,0.13763389
AT2G36690,AT3G21080,0.13717583
AT2G42360,AT4G24160,0.13715959
AT1G61380,AT1G51800,0.13682155
AT1G35160,AT5G40780,0.13638150000000002
AT3G29034,AT1G65690,0.13624611
AT3G26210,AT5G44585,0.13619724
AT1G52200,AT1G51620,0.13610463
AT4G35180,AT5G01540,0.13588895
AT1G21670,AT1G05300,0.13562103
